item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211843,complete,07/02/2016,cr_ALMOND PLAIN-500 GM,940,1,1790,100147967,Soghaat,\N,0,cod,07/02/2016,Net,940,2016,7,2016-7,Jul-16,FY17,232
211875,canceled,07/02/2016,AKL_A131128777_SS-33_Yellow,3975,1,11527,100147984,Women's Fashion,\N,0,ublcreditcard,07/02/2016,Gross,"3,975",2016,7,2016-7,Jul-16,FY17,240
211911,complete,07/02/2016,UK_Cake Rusk Cardamom 150 Gms,90,1,90,100148012,Soghaat,\N,0,cod,07/02/2016,Net,90,2016,7,2016-7,Jul-16,FY17,247
211947,complete,07/02/2016,MYWALET_MW-060-BROWN,626,1,626,100148033,Men's Fashion,c-lhc-57595,0,cod,07/02/2016,Net,626,2016,7,2016-7,Jul-16,FY17,266
212023,complete,07/02/2016,Gasonline-MPT-524-BEIGE-36,1099,1,1099,100148063,\N,\N,0,cod,07/02/2016,Net,"1,099",2016,7,2016-7,Jul-16,FY17,284
212064,complete,07/02/2016,UK_Namkino Chatkhara Papdi 150 Gms,80,2,160,100148082,Soghaat,\N,0,cod,07/02/2016,Net,160,2016,7,2016-7,Jul-16,FY17,299
212099,order_refunded,07/03/2016,cr_AJWA DATES (400 GM),925,1,925,100148104,Soghaat,\N,0,cod,07/03/2016,Valid,925,2016,7,2016-7,Jul-16,FY17,317
212134,canceled,07/03/2016,Farah_3-B,2996,2,20987,100148116,Women's Fashion,\N,0,mygateway,07/03/2016,Gross,"5,992",2016,7,2016-7,Jul-16,FY17,323
212171,complete,07/03/2016,kcc_glamour deal,320,1,320,100148134,Beauty & Grooming,\N,0,cod,07/03/2016,Net,320,2016,7,2016-7,Jul-16,FY17,335
212205,canceled,07/03/2016,Al Muhafiz Sohan Halwa Cashew,570,1,5288,100148155,Soghaat,\N,0,mygateway,07/03/2016,Gross,570,2016,7,2016-7,Jul-16,FY17,352
212243,complete,07/03/2016,kkc_Rose King  Air Freshener,144,1,144,100148170,Home & Living,80702,0,cod,07/03/2016,Net,144,2016,7,2016-7,Jul-16,FY17,241
212283,canceled,07/03/2016,Audionic_DJ-106,625,1,625,100148197,Computing,\N,0,cod,07/03/2016,Gross,625,2016,7,2016-7,Jul-16,FY17,385
212320,complete,07/04/2016,HOS-m_DVFCWM125,3000,1,10650,100148212,Beauty & Grooming,C-HDD-40844,0,cod,07/04/2016,Net,"3,000",2016,7,2016-7,Jul-16,FY17,396
212355,order_refunded,07/04/2016,qzs_White V-Neck T-Shirt,800,1,1600,100148234,Men's Fashion,\N,0,cod,07/04/2016,Valid,800,2016,7,2016-7,Jul-16,FY17,402
212391,complete,07/04/2016,KI_bedsheet-2154,1399,1,1399,100148260,Home & Living,R-RWP-103991,0,cod,07/04/2016,Net,"1,399",2016,7,2016-7,Jul-16,FY17,66
212425,complete,07/04/2016,sputnik_701/D14-10,1500,1,1500,100148290,Men's Fashion,\N,0,cod,07/04/2016,Net,"1,500",2016,7,2016-7,Jul-16,FY17,439
212461,complete,07/04/2016,Dany_Powerbank Pb- 41,1050,1,1050,100148317,Mobiles & Tablets,\N,0,cod,07/04/2016,Net,"1,050",2016,7,2016-7,Jul-16,FY17,452
212495,complete,07/04/2016,BO_DIY-Rc-Red,4500,1,9300,100148346,Kids & Baby,\N,0,ublcreditcard,07/04/2016,Net,"4,500",2016,7,2016-7,Jul-16,FY17,467
212533,complete,07/04/2016,kkc_ Icy Menthol Oasis Prickly Heat Powder,80,1,80,100148366,Beauty & Grooming,\N,0,cod,07/04/2016,Net,80,2016,7,2016-7,Jul-16,FY17,466
212573,canceled,07/05/2016,cr_ALMOND PLAIN-200 GM,410,1,410,100148392,Soghaat,\N,0,cod,07/05/2016,Gross,410,2016,7,2016-7,Jul-16,FY17,493
212605,canceled,07/05/2016,Fitbit_Surge,33000,1,33000,100148418,Mobiles & Tablets,\N,0,cod,07/05/2016,Gross,"33,000",2016,7,2016-7,Jul-16,FY17,509
212639,order_refunded,07/05/2016,sputnik_179/2-10,1500,1,1500,100148441,Men's Fashion,\N,0,cod,07/05/2016,Valid,"1,500",2016,7,2016-7,Jul-16,FY17,522
212683,canceled,07/05/2016,jackpot_JP-14,1050,1,2550,100148459,Appliances,\N,0,cod,07/05/2016,Gross,"1,050",2016,7,2016-7,Jul-16,FY17,535
212716,complete,07/05/2016,kcc_glamour deal,320,1,320,100148472,Beauty & Grooming,\N,0,cod,07/05/2016,Net,320,2016,7,2016-7,Jul-16,FY17,412
212748,complete,07/05/2016,AKL_DL-02-YELLOW,1274,1,1274,100148499,Women's Fashion,\N,0,cod,07/05/2016,Net,"1,274",2016,7,2016-7,Jul-16,FY17,552
212786,order_refunded,07/06/2016,MYWALET_MW-002-D-BROWN,512,1,512,100148525,Men's Fashion,\N,0,cod,07/06/2016,Valid,512,2016,7,2016-7,Jul-16,FY17,573
212819,canceled,07/06/2016,UK_Namkino Spicy Peanuts 200 Gms,100,1,1435,100148550,Soghaat,\N,0,ublcreditcard,07/06/2016,Gross,100,2016,7,2016-7,Jul-16,FY17,159
212852,complete,07/07/2016,osaka_5.5W LED BULB,242,1,569,100148576,Appliances,\N,0,cod,07/07/2016,Net,242,2016,7,2016-7,Jul-16,FY17,604
212890,refund,07/07/2016,L&S_meh004,1065,1,6057.5,100148601,Home & Living,\N,0,cod,07/07/2016,Valid,"1,065",2016,7,2016-7,Jul-16,FY17,537
212931,complete,07/08/2016,mau_117445,730,1,1975,100148622,Beauty & Grooming,\N,0,cod,07/08/2016,Net,730,2016,7,2016-7,Jul-16,FY17,639
212993,complete,07/08/2016,RS_Kaju Barfi,425,6,2550,100148647,Soghaat,\N,0,cod,07/08/2016,Net,"2,550",2016,7,2016-7,Jul-16,FY17,651
213032,complete,07/08/2016,vitamin_Vita Growth,1600,1,1600,100148678,Health & Sports,\N,0,cod,07/08/2016,Net,"1,600",2016,7,2016-7,Jul-16,FY17,36
213066,complete,07/09/2016,Haier G20,4380,1,3880,100148703,Mobiles & Tablets,C-PEW-43877,500,cod,07/09/2016,Net,"4,380",2016,7,2016-7,Jul-16,FY17,689
213099,order_refunded,07/09/2016,kke_SCF68317,970,1,970,100148721,Kids & Baby,\N,0,cod,07/09/2016,Valid,970,2016,7,2016-7,Jul-16,FY17,697
213138,canceled,07/09/2016,Relaxsit_RS-44,2400,1,2870,100148747,Home & Living,\N,0,cod,07/09/2016,Gross,"2,400",2016,7,2016-7,Jul-16,FY17,712
213171,canceled,07/09/2016,UK_ Namkino Daal Moong 200 Gms,90,1,1879,100148758,Soghaat,\N,0,mygateway,07/09/2016,Gross,90,2016,7,2016-7,Jul-16,FY17,159
213209,complete,07/09/2016,rub_Rubian_VR-Box With Remote,1765,1,1765,100148773,Mobiles & Tablets,\N,0,cod,07/09/2016,Net,"1,765",2016,7,2016-7,Jul-16,FY17,724
213244,complete,07/10/2016,itter_AB 1219,250,1,990,100148802,Beauty & Grooming,\N,0,cod,07/10/2016,Net,250,2016,7,2016-7,Jul-16,FY17,640
213276,complete,07/10/2016,Audionic_BT-230,1525,1,1525,100148823,Mobiles & Tablets,\N,0,cod,07/10/2016,Net,"1,525",2016,7,2016-7,Jul-16,FY17,757
213310,complete,07/10/2016,HR_Heeng Jeera Peanuts 200g,180,1,180,100148850,Soghaat,30967,0,cod,07/10/2016,Net,180,2016,7,2016-7,Jul-16,FY17,775
213342,order_refunded,07/11/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100148873,Beauty & Grooming,C-GUJ-106193,0,cod,07/11/2016,Valid,240,2016,7,2016-7,Jul-16,FY17,137
213374,canceled,07/11/2016,UK_Gift Box Kaju Katli 500 Gms,665,1,6051,100148898,Soghaat,\N,0,cod,07/11/2016,Gross,665,2016,7,2016-7,Jul-16,FY17,251
213407,order_refunded,07/11/2016,kcc_krone deal,360,1,360,100148918,Beauty & Grooming,C-ISB-47491,0,cod,07/11/2016,Valid,360,2016,7,2016-7,Jul-16,FY17,35
213444,complete,07/11/2016,kcc_krone deal,360,1,360,100148936,Beauty & Grooming,R-Guj-51944,0,cod,07/11/2016,Net,360,2016,7,2016-7,Jul-16,FY17,806
213481,complete,07/11/2016,vitamin_Ultra Whey Protein,1500,1,1500,100148962,Health & Sports,\N,0,cod,07/11/2016,Net,"1,500",2016,7,2016-7,Jul-16,FY17,824
213515,canceled,07/11/2016,GG_RTW012-Small,1990,1,1990,100148987,Men's Fashion,\N,0,cod,07/11/2016,Gross,"1,990",2016,7,2016-7,Jul-16,FY17,839
213551,complete,07/11/2016,RUB_Kingston_16 gb USB Flash drive,700,1,700,100149015,Computing,R-PEW-41424,0,cod,07/11/2016,Net,700,2016,7,2016-7,Jul-16,FY17,42
213585,complete,07/11/2016,Royal_Emperor (W/Proof) 56,3500,1,3500,100149042,Appliances,R-Isb-58059,0,cod,07/11/2016,Net,"3,500",2016,7,2016-7,Jul-16,FY17,79
213620,order_refunded,07/12/2016,Veet_4,165,1,165,100149070,Beauty & Grooming,\N,0,cod,07/12/2016,Valid,165,2016,7,2016-7,Jul-16,FY17,304
213657,order_refunded,07/12/2016,Emo_BT-28364-M,1250,2,2500,100149099,Men's Fashion,R-Guj-51944,0,cod,07/12/2016,Valid,"2,500",2016,7,2016-7,Jul-16,FY17,806
213694,complete,07/12/2016,sanasafinaz_march16_7A-Nationwide Delivery,6750,1,29050,100149126,Women's Fashion,\N,0,cod,07/12/2016,Net,"6,750",2016,7,2016-7,Jul-16,FY17,904
213732,order_refunded,07/12/2016,BK1050200CF,315,1,730,100149153,Soghaat,\N,0,cod,07/12/2016,Valid,315,2016,7,2016-7,Jul-16,FY17,914
213765,complete,07/12/2016,itter_AB 1211,250,1,250,100149184,Beauty & Grooming,C-LHC-40161,0,cod,07/12/2016,Net,250,2016,7,2016-7,Jul-16,FY17,163
213800,complete,07/12/2016,kcc_sweethome,120,1,120,100149215,Home & Living,R-LHW-104415,0,cod,07/12/2016,Net,120,2016,7,2016-7,Jul-16,FY17,927
213838,complete,07/12/2016,HR_Bhel Puri 200g,210,1,560,100149246,Soghaat,\N,0,cod,07/12/2016,Net,210,2016,7,2016-7,Jul-16,FY17,936
213874,complete,07/12/2016,kcc_krone deal,360,1,360,100149272,Beauty & Grooming,\N,0,cod,07/12/2016,Net,360,2016,7,2016-7,Jul-16,FY17,813
213916,canceled,7/13/2016,jackpot_JP-719B,1050,1,1050,100149289,Appliances,\N,0,cod,7/13/2016,Gross,"1,050",2016,7,2016-7,Jul-16,FY17,627
213957,canceled,7/13/2016,Qmobile LT500,10500,1,10500,100149315,Mobiles & Tablets,C-57551-RWP,0,cod,7/13/2016,Gross,"10,500",2016,7,2016-7,Jul-16,FY17,890
213992,closed,7/13/2016,RS_Sohan Halwa Tin,320,1,1699,100149334,Soghaat,\N,0,cod,7/13/2016,Net,320,2016,7,2016-7,Jul-16,FY17,990
214028,complete,7/13/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100149366,Beauty & Grooming,C-KHIW-31922,0,cod,7/13/2016,Net,240,2016,7,2016-7,Jul-16,FY17,820
214061,complete,7/13/2016,Infinix_Zero 3 X552 Grey ,20900,1,20900,100149392,Mobiles & Tablets,C-RWP-31924,0,cod,7/13/2016,Net,"20,900",2016,7,2016-7,Jul-16,FY17,33
214095,complete,7/13/2016,greenroot_Herbal Hair Shampoo (500ml),900,1,4750,100149418,Beauty & Grooming,\N,0,cod,7/13/2016,Net,900,2016,7,2016-7,Jul-16,FY17,1009
214127,complete,7/13/2016,cr_CASHEW NUT ROASTED-200 GM,375,2,0,100149426,Soghaat,C-MUX-52058,0,customercredit,7/13/2016,Net,750,2016,7,2016-7,Jul-16,FY17,85
214166,order_refunded,7/13/2016,ashbroe_ABGW-130,580,1,1015,100149453,Men's Fashion,80702,0,cod,7/13/2016,Valid,580,2016,7,2016-7,Jul-16,FY17,241
214203,complete,7/13/2016,RS_cake rusk,190,1,17800,100149477,Soghaat,\N,0,cod,7/13/2016,Net,190,2016,7,2016-7,Jul-16,FY17,749
214235,complete,7/13/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100149505,Beauty & Grooming,C-GUJ-42532,0,cod,7/13/2016,Net,240,2016,7,2016-7,Jul-16,FY17,137
214273,canceled,7/13/2016,dwm_City K2G271C3 Watch,36900,1,50793,100149530,Men's Fashion,\N,0,internetbanking,7/13/2016,Gross,"36,900",2016,7,2016-7,Jul-16,FY17,1052
214309,canceled,7/14/2016,Samsung GALAXY NOTE-5,71999,1,71999,100149550,Mobiles & Tablets,\N,0,ublcreditcard,7/14/2016,Gross,"71,999",2016,7,2016-7,Jul-16,FY17,740
214345,canceled,7/14/2016,Apple iPhone 6 Plus (64GB) Gold,96499,1,96499,100149578,Mobiles & Tablets,R-LHE-104418,0,cod,7/14/2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,1075
214381,complete,7/14/2016,ajmery_BAT-3-XL,999,1,999,100149603,Men's Fashion,R-Guj-51944,0,cod,7/14/2016,Net,999,2016,7,2016-7,Jul-16,FY17,806
214416,complete,7/14/2016,kcc_glamour deal,320,1,320,100149633,Beauty & Grooming,C-LHC-30924,0,cod,7/14/2016,Net,320,2016,7,2016-7,Jul-16,FY17,163
214451,complete,7/14/2016,Infinix_Hot 3 Pro X553 ,15200,1,15200,100149662,Mobiles & Tablets,C_MUX_51613,0,cod,7/14/2016,Net,"15,200",2016,7,2016-7,Jul-16,FY17,987
214653,complete,7/14/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100149837,\N,R-KHE-103983,0,mcblite,7/14/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
214685,complete,7/14/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100149869,\N,R-KHE-103983,0,mcblite,7/14/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
214716,complete,7/14/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100149900,\N,R-KHE-103983,0,mcblite,7/14/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
214748,complete,7/14/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100149932,\N,R-KHE-103983,0,mcblite,7/14/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
214477,complete,7/14/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100149685,Beauty & Grooming,C-LHC-31223,0,cod,7/14/2016,Net,240,2016,7,2016-7,Jul-16,FY17,163
214510,complete,7/14/2016,Rajesh_RAJ47,1370,1,1370,100149716,Beauty & Grooming,\N,0,cod,7/14/2016,Net,"1,370",2016,7,2016-7,Jul-16,FY17,1107
214546,complete,7/14/2016,kcc_desire,140,1,490,100149745,Beauty & Grooming,R-PEW-101268,0,cod,7/14/2016,Net,140,2016,7,2016-7,Jul-16,FY17,292
214578,canceled,7/14/2016,test_tcsconnect,1,1,1,100149775,\N,\N,0,ublcreditcard,7/14/2016,Gross,1,2016,7,2016-7,Jul-16,FY17,939
214611,complete,7/14/2016,Victorinox_Bantam Red,1100,1,2714,100149802,Men's Fashion,\N,0,cod,7/14/2016,Net,"1,100",2016,7,2016-7,Jul-16,FY17,1125
214778,order_refunded,7/14/2016,kcc_krone deal,360,1,360,100149959,Beauty & Grooming,\N,0,cod,7/14/2016,Valid,360,2016,7,2016-7,Jul-16,FY17,1138
214815,canceled,7/14/2016,Aleesa_ALG-16-4092-M,923,1,1723,100149980,Men's Fashion,\N,207.6,cod,7/14/2016,Gross,923,2016,7,2016-7,Jul-16,FY17,727
214848,canceled,7/15/2016,Rubian_smart-watch-gt08,4499,1,4499,100149998,Mobiles & Tablets,\N,0,cod,7/15/2016,Gross,"4,499",2016,7,2016-7,Jul-16,FY17,1158
214884,order_refunded,7/15/2016,Samsung_40J5200,61460,1,61460,100150024,Entertainment,c-uet-44938,0,cod,7/15/2016,Valid,"61,460",2016,7,2016-7,Jul-16,FY17,36
214917,complete,7/15/2016,kcc_krone deal,360,1,360,100150049,Beauty & Grooming,C-RWP-1361,0,cod,7/15/2016,Net,360,2016,7,2016-7,Jul-16,FY17,33
214951,canceled,7/15/2016,Dany6-954217-458694,390,1,390,100150074,Entertainment,\N,0,ublcreditcard,7/15/2016,Gross,390,2016,7,2016-7,Jul-16,FY17,1182
215146,complete,7/15/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100150221,\N,R-KHE-103983,0,mcblite,7/15/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
214981,order_refunded,7/15/2016,UK_Sohan Halwa Tin Pack 400 Gms,285,1,285,100150099,Soghaat,151311,0,cod,7/15/2016,Valid,285,2016,7,2016-7,Jul-16,FY17,1191
215014,canceled,7/15/2016,Al Muhafiz Sohan Halwa Walnut,510,1,510,100150129,Soghaat,R-PEW-41424,0,mcblite,7/15/2016,Gross,510,2016,7,2016-7,Jul-16,FY17,42
215051,complete,7/15/2016,kcc_krone deal,360,1,360,100150158,Beauty & Grooming,C-KHC-45574,0,cod,7/15/2016,Net,360,2016,7,2016-7,Jul-16,FY17,114
215112,complete,7/15/2016,kcc_Cool Pocket Perfume,120,1,120,100150190,Beauty & Grooming,C-KHC-47854,0,cod,7/15/2016,Net,120,2016,7,2016-7,Jul-16,FY17,114
215183,complete,7/15/2016,ESPICO_050-Fancy Nylon Bra-Black-32,430,1,880,100150259,Women's Fashion,\N,0,cod,7/15/2016,Net,430,2016,7,2016-7,Jul-16,FY17,1221
215224,complete,7/15/2016,UK_Namkino Mix Nimco 400 Gms,170,1,170,100150288,Soghaat,\N,0,cod,7/15/2016,Net,170,2016,7,2016-7,Jul-16,FY17,1237
215258,canceled,7/15/2016,sm-SamsungC3520,6700,1,6700,100150313,Mobiles & Tablets,\N,0,cod,7/15/2016,Gross,"6,700",2016,7,2016-7,Jul-16,FY17,1253
215292,complete,7/16/2016,UK_Soan Papdi Original 250 Gms,150,1,150,100150338,Soghaat,\N,0,cod,7/16/2016,Net,150,2016,7,2016-7,Jul-16,FY17,1267
215329,complete,7/16/2016,kcc_krone deal,360,1,360,100150365,Beauty & Grooming,C-KHIW-30222,0,cod,7/16/2016,Net,360,2016,7,2016-7,Jul-16,FY17,820
215363,complete,7/16/2016,Bold_Classic,299,1,299,100150393,Beauty & Grooming,C-KHIW-31558,0,cod,7/16/2016,Net,299,2016,7,2016-7,Jul-16,FY17,820
215402,complete,7/16/2016,kcc_cool,180,1,180,100150422,Beauty & Grooming,C-ISB-105907,0,cod,7/16/2016,Net,180,2016,7,2016-7,Jul-16,FY17,35
215436,complete,7/16/2016,sputnik_741/14-8,1400,1,1400,100150454,Men's Fashion,R-PEW-104414,0,cashatdoorstep,7/16/2016,Net,"1,400",2016,7,2016-7,Jul-16,FY17,230
215474,canceled,7/16/2016,MEGUIAR_G13616,1010,1,1720,100150484,Others,\N,0,mygateway,7/16/2016,Gross,"1,010",2016,7,2016-7,Jul-16,FY17,1300
215508,complete,7/16/2016,UK_Namkino Coated Peanuts 200 Gms,100,1,450,100150503,Soghaat,\N,0,cod,7/16/2016,Net,100,2016,7,2016-7,Jul-16,FY17,1117
215542,refund,7/17/2016,kcc_krone deal,360,1,360,100150530,Beauty & Grooming,R-KHS-103986,0,cod,7/17/2016,Valid,360,2016,7,2016-7,Jul-16,FY17,1323
215577,complete,7/17/2016,kcc_Cool Pocket Perfume,120,1,219,100150554,Beauty & Grooming,\N,0,cod,7/17/2016,Net,120,2016,7,2016-7,Jul-16,FY17,1337
215612,complete,7/17/2016,cr_PAN MASALA ( SWEET)-200 GM,130,1,8227,100150577,Soghaat,\N,0,cod,7/17/2016,Net,130,2016,7,2016-7,Jul-16,FY17,749
215647,complete,7/17/2016,wb_TH-91-L,680,1,5209,100150599,Men's Fashion,\N,0,cod,7/17/2016,Net,680,2016,7,2016-7,Jul-16,FY17,1369
215688,complete,7/18/2016,ajmery_1-AJ,1099,1,1459,100150625,Men's Fashion,C-RWP-31924,0,cod,7/18/2016,Net,"1,099",2016,7,2016-7,Jul-16,FY17,220
215719,order_refunded,7/18/2016,greenroot_Natural Aloe Vera ,800,1,800,100150654,Beauty & Grooming,c-fsd-32134,0,cod,7/18/2016,Valid,800,2016,7,2016-7,Jul-16,FY17,391
215758,complete,7/18/2016,kcc_krone deal,360,1,360,100150679,Beauty & Grooming,\N,0,cod,7/18/2016,Net,360,2016,7,2016-7,Jul-16,FY17,1397
215906,complete,7/18/2016,RS_Rehmat-e-Shereen Mix Mithai,950,1,950,100150796,\N,R-KHE-103983,0,cashatdoorstep,7/18/2016,Net,950,2016,7,2016-7,Jul-16,FY17,1099
215782,complete,7/18/2016,UK_ Namkino Daal Moong 200 Gms,90,1,90,100150698,Soghaat,R-LHW-104137,0,cod,7/18/2016,Net,90,2016,7,2016-7,Jul-16,FY17,1402
215817,complete,7/18/2016,Dany_Powerbank Pb- 42 ,700,1,700,100150727,Mobiles & Tablets,R-Isb-58059,0,cod,7/18/2016,Net,700,2016,7,2016-7,Jul-16,FY17,79
215854,complete,7/18/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,3660,100150751,Beauty & Grooming,\N,0,cod,7/18/2016,Net,240,2016,7,2016-7,Jul-16,FY17,1411
215889,canceled,7/18/2016,kcc_Mushk-ul-Hind,120,1,120,100150779,Home & Living,\N,0,cod,7/18/2016,Gross,120,2016,7,2016-7,Jul-16,FY17,1421
215972,canceled,7/18/2016,Dany6-954217-458694,390,1,390,100150851,Entertainment,\N,0,ublcreditcard,7/18/2016,Gross,390,2016,7,2016-7,Jul-16,FY17,1182
216010,canceled,7/18/2016,Rajesh_RAJ61,810,1,810,100150878,Appliances,\N,0,cod,7/18/2016,Gross,810,2016,7,2016-7,Jul-16,FY17,1442
216046,refund,7/19/2016,Dany_Powerbank Pb-26,450,1,450,100150906,Mobiles & Tablets,R-Isb-58059,0,cod,7/19/2016,Valid,450,2016,7,2016-7,Jul-16,FY17,79
216078,order_refunded,7/19/2016,ajmery_SYB-519-44,959,1,959,100150928,Men's Fashion,C-ISB-41578,0,cod,7/19/2016,Valid,959,2016,7,2016-7,Jul-16,FY17,35
216112,canceled,7/19/2016,Emo-MH-25342 Navy Blue Zipper MockMedium,899,2,1798,100150952,Men's Fashion,\N,0,cod,7/19/2016,Gross,"1,798",2016,7,2016-7,Jul-16,FY17,1476
216148,canceled,7/19/2016,Trans2_LW 999 ,100,1,90,100150983,\N,\N,10,cod,7/19/2016,Gross,100,2016,7,2016-7,Jul-16,FY17,83
216181,complete,7/19/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100151011,Beauty & Grooming,C-KHIW-33503,0,cod,7/19/2016,Net,240,2016,7,2016-7,Jul-16,FY17,820
216216,complete,7/19/2016,Emo-CT-24304 Green 8 Pocket Cargo Trouser-34,999,1,0,100151037,Men's Fashion,\N,0,customercredit,7/19/2016,Net,999,2016,7,2016-7,Jul-16,FY17,1485
216258,complete,7/19/2016,vers_Bleach Cream,195,1,360,100151064,Beauty & Grooming,R-KHW-104406,0,cod,7/19/2016,Net,195,2016,7,2016-7,Jul-16,FY17,13
216294,complete,7/19/2016,RS_Sohan Halwa_Tin-1000 GM,640,1,640,100151094,Soghaat,R-PEW-104414,0,cod,7/19/2016,Net,640,2016,7,2016-7,Jul-16,FY17,230
216331,order_refunded,7/19/2016,Huawei Y221,4530,1,4530,100151121,Mobiles & Tablets,R-Isb-58059,0,cod,7/19/2016,Valid,"4,530",2016,7,2016-7,Jul-16,FY17,79
